source,abcnews,breitbart,cnn,foxnews,newyorktimes,washingtonpost
L8_breitbart,0.13474817708784803,0.732372144931798,-0.43495944502782,-0.03344160347383153,-0.0605203898653352,-0.03438570225208818
L8_cnn,0.003840259744206057,0.24084552026948017,-0.06650877396632723,0.23338352149377387,-0.3109671050118535,-0.05719071047475995
L8_foxnews,0.4162028059431751,0.053328039918399274,0.09144145610362746,0.6357694457697187,0.16767500554675294,0.08944672631683008
L8_newyorktimes,0.36620457503147597,-0.25177249174482447,0.11405317242641037,-0.1716708464064824,0.5034583515674097,0.22938353756141405
L8_washingtonpost,0.1064435513131405,-0.35963450269606795,0.0420289879042759,0.3046125778292741,0.021932017343945755,0.1609808100199556
L9_abcnews,0.18256424042082034,0.12997360221626408,0.09647935246255879,-0.07487187639900396,-0.0857312493527492,-0.06396823522325439
L9_breitbart,0.09687860561669287,0.783679099241067,-0.4680620945714434,0.019488795545216698,-0.06322707716190633,-0.08436983163487281
L9_cnn,-0.051537724587889217,0.2290042207200001,0.046172180060246815,0.15357310393301477,-0.3515530660790062,0.01747025095962862
L9_foxnews,0.34435062295298524,0.05332803991839927,-0.09225297605900125,0.6357694457697187,0.027361193373737908,0.019452017825043123
L9_newyorktimes,0.33048913763620025,-0.2574761552978798,0.19400603998519614,-0.0943548278315383,0.3830385484148577,0.3233107668300259
L9_washingtonpost,0.28279526005928646,-0.21367699352475425,0.04546976052079207,0.35966798666387034,0.14211507165785564,0.16172275609812722
L10_abcnews,0.18256424042082034,-0.014151853536441383,0.12202106190316227,-0.07487187639900397,-0.1973179548595022,0.05822182909757217
L10_breitbart,0.07645001729865343,0.8418936391010213,-0.48470819585393216,-0.039756805763144644,-0.1032624899693003,-0.09962139676480365
L10_cnn,-0.025397955786453225,0.2252806967991619,0.05584329758545192,0.16928436214206397,-0.29439505436941754,0.11944145026725417
L10_foxnews,0.25251056482004147,0.07525654702861131,-0.09542787215730035,0.6370679542854012,-0.16149242204672198,0.15491166168594828
L10_newyorktimes,0.28066822511111506,-0.24672781128286245,0.2839595618885318,-0.2109293887624816,0.4059658047760334,0.2402238806700872
L10_washingtonpost,0.35445106031212775,-0.034712112039313826,0.01649678742957169,0.2839046850343631,0.14205266212645923,0.18051460420932428
L11_abcnews,0.24411175429892046,-0.17479856513862865,0.1461283682664686,0.14069273579623232,-0.21983948802619213,0.2580045394786944
L11_breitbart,0.15508030187997318,0.8418936391010213,-0.4657947361897703,-0.07454401080589618,-0.006142006838322706,-0.06706742222967993
L11_cnn,0.20041694754201264,0.07589816374338179,0.14103647863603472,0.002840243811274675,0.036126853037227395,-0.08021770496019194
L11_foxnews,0.18987687274881557,0.08731726791907406,-0.0447947530734126,0.660876303292974,-0.22657456034190548,0.227543463318176
L11_newyorktimes,0.2888415726514033,-0.24080598663803368,0.3362490396486114,-0.2577871719247664,0.48789679903557603,0.1698428191682332
L11_washingtonpost,0.47954133715165415,-0.003233550279544432,0.092052437250342,0.2790692457366095,0.23141890311521793,0.28802906645801446
L12_abcnews,0.18256424042082034,-0.3024027650418523,0.3423183058283677,0.030829596164295675,-0.15513273692402238,0.27273327534969
L12_breitbart,0.25410780571522834,0.7804784780449078,-0.429758304131826,-0.14472259625662715,0.05477737808844496,-0.15660319509208978
L12_cnn,0.23135733006447784,0.0027975475990956694,0.3403245702326619,-0.07226851916214438,0.1449239093520283,-0.08992711272332399
L12_foxnews,0.17885837675934313,0.08731726791907406,-0.1924571844142191,0.660876303292974,-0.2930084592075875,0.20591515209433622
L12_newyorktimes,0.37342860226721014,-0.18356181364819257,0.3838819542736491,-0.12115510157258548,0.5667389305709137,0.19415885653408074
L12_washingtonpost,0.4108936096352529,0.09361856851842061,-0.015835784326129608,0.24330198152342772,0.13815211580866268,0.2446973386327243
