source,abcnews,breitbart,cnn,dailycaller,foxnews,washingtonpost
L5_abcnews,1.0,0.450011885247281,0.31603889227167226,0.4221373400655001,0.7662874479864696,0.3329411505409234
L5_breitbart,0.07819422817920132,0.6999587848547226,0.351535759209383,0.3963545881180484,0.44011910571437746,0.4103654680228292
L5_cnn,0.19573471368548312,0.6432836458214412,0.8573524260219271,0.6535386753700323,0.35228381809356735,0.6267914861364405
L5_dailycaller,-0.05267350474939136,0.637260268862932,0.8742054608987573,0.8200320038253469,0.3045119925343446,0.81242496802171
L5_foxnews,0.83186368712574,0.711954213304131,0.5151075938320796,0.670901728583907,0.9720356944932665,0.5433104256604453
L5_washingtonpost,0.08244576681777765,0.6858407564496705,0.8402141188300525,0.7624370035105025,0.41687509147954654,0.9256352821579219
L6_abcnews,1.0,0.450011885247281,0.31603889227167226,0.4221373400655001,0.7662874479864696,0.3329411505409234
L6_breitbart,0.2108738492041091,0.7518771360196385,0.35698759555041787,0.4108583543339638,0.519015998248087,0.41520180184479283
L6_cnn,0.15343922115718472,0.689434939904996,0.9102451593807257,0.7260073441528057,0.35003518612630286,0.6956724413098637
L6_dailycaller,-0.05280572935224711,0.6562307774940904,0.869041461570936,0.8767496042770835,0.41213060286869596,0.8464205790758772
L6_foxnews,0.8287733584725515,0.7494662868297792,0.5634028623401217,0.669215732953525,0.9807469192296118,0.6218769176058992
L6_washingtonpost,-0.01782977982343409,0.6431342423651465,0.8051551789325763,0.7456096462907251,0.39656739301661026,0.9239449837371934
L7_abcnews,1.0,0.450011885247281,0.31603889227167226,0.4221373400655001,0.7662874479864696,0.3329411505409234
L7_breitbart,0.34686353943224485,0.8022085358920606,0.39136800710352704,0.4167803650519267,0.5835200971760258,0.37537326059871146
L7_cnn,0.038874989190724525,0.6826977036069988,0.9153420317797675,0.7255652850556402,0.3280174144641222,0.7852169209988761
L7_dailycaller,0.1023865784639493,0.7055062131897752,0.8853865733112372,0.9360193711142755,0.5478633275758106,0.8637341014850725
L7_foxnews,0.7418026933043922,0.7480822491356507,0.5376506170418506,0.7049525766951836,0.975062214991799,0.6242956588622481
L7_washingtonpost,0.08305693654475495,0.7272943169146608,0.8796969354836459,0.8624134383655706,0.5090498561915722,0.9633694892950587
L8_abcnews,1.0,0.450011885247281,0.31603889227167226,0.4221373400655001,0.7662874479864696,0.3329411505409234
L8_breitbart,0.3168397372094125,0.8092067013268858,0.3817566762636151,0.36516482759746344,0.5545563392869584,0.41467804797815816
L8_cnn,-0.05975513376652798,0.686633189136455,0.9265946755651109,0.7880798877600625,0.3567777820297871,0.8085926523602601
L8_dailycaller,0.34613995948024023,0.7831042016510396,0.9199440047397868,0.9939588572719401,0.7114067681194111,0.9034361768280539
L8_foxnews,0.7580321845513861,0.7421864104591382,0.5268712451464345,0.6745809265361274,0.9806342848269364,0.5657594288114614
L8_washingtonpost,0.24126264055318658,0.7516848921250133,0.8752613443910844,0.8553163295037861,0.5897121178607287,0.987141569723614
L9_abcnews,1.0,0.450011885247281,0.31603889227167226,0.4221373400655001,0.7662874479864696,0.3329411505409234
L9_breitbart,0.2143511103604382,0.8222073595803914,0.46045618596254506,0.3953642526782546,0.5229646717655179,0.4157408197020511
L9_cnn,0.08692647417390197,0.7457595902723517,0.9629478541766574,0.8557313089070236,0.47926051713474005,0.8499403530124331
L9_dailycaller,0.4221373400655001,0.7993923769902286,0.9196489183230971,1.0,0.7564217894159645,0.9049260281182973
L9_foxnews,0.8106738098126293,0.7542308647125432,0.5463783941751863,0.6558169799705867,0.9863239421590677,0.5848398717180654
L9_washingtonpost,0.2800872773841699,0.7772053786804686,0.8896576922667726,0.8933473090291677,0.646718758052578,0.9959327210853578
L10_abcnews,1.0,0.450011885247281,0.31603889227167226,0.4221373400655001,0.7662874479864696,0.3329411505409234
L10_breitbart,0.18365992355241556,0.8379674785743723,0.5205005067784672,0.42075504532727326,0.5321581830673017,0.4402804038594062
L10_cnn,0.28461119945822494,0.8161144543036372,0.9990440035798841,0.9146121370696259,0.6190047310898475,0.8920431547127795
L10_dailycaller,0.4221373400655001,0.7993923769902286,0.9196489183230971,1.0,0.7564217894159645,0.9049260281182973
L10_foxnews,0.7493855127609155,0.7704510828114077,0.5815888955557028,0.6908065808515074,0.9894970228547895,0.6251043429310011
L10_washingtonpost,0.2679681163435087,0.7730636580628242,0.8896576922667726,0.8933473090291677,0.6392442979980353,0.9959327210853578
L11_abcnews,1.0,0.450011885247281,0.31603889227167226,0.4221373400655001,0.7662874479864696,0.3329411505409234
L11_breitbart,0.2500951962363917,0.8751981924922086,0.6116569555667297,0.5137766008103916,0.5750135324238522,0.5121646139951779
L11_cnn,0.31603889227167226,0.8238094588094509,1.0,0.9196489183230971,0.6391019465379938,0.8944870633251354
L11_dailycaller,0.4221373400655001,0.7993923769902286,0.9196489183230971,1.0,0.7564217894159645,0.9049260281182973
L11_foxnews,0.729417416342661,0.7895009761852516,0.6153935566000208,0.7274755254684958,0.9930859377853237,0.6448227805529808
L11_washingtonpost,0.3329411505409234,0.7903733755658323,0.8944870633251354,0.9049260281182973,0.6806796974665843,1.0
L12_abcnews,1.0,0.450011885247281,0.31603889227167226,0.4221373400655001,0.7662874479864696,0.3329411505409234
L12_breitbart,0.2381002844145485,0.8884005315478329,0.6654939008866898,0.5615836045412861,0.5486799297642896,0.5455866452097029
L12_cnn,0.31603889227167226,0.8238094588094509,1.0,0.9196489183230971,0.6391019465379938,0.8944870633251354
L12_dailycaller,0.4221373400655001,0.7993923769902286,0.9196489183230971,1.0,0.7564217894159645,0.9049260281182973
L12_foxnews,0.7764907768817926,0.7733031484162106,0.5938951362506949,0.7089299612798196,0.9900736121790567,0.5965057374913323
L12_washingtonpost,0.3329411505409234,0.7903733755658323,0.8944870633251354,0.9049260281182973,0.6806796974665843,1.0
