source,breitbart,cnn,dailycaller,foxnews,newyorktimes,washingtonpost
L8_dailycaller,0.5723825801602527,0.545719030395021,0.9007405547292335,0.49588723760186265,0.17128906264315366,0.1813921823185973
L8_foxnews,0.7958310200254552,0.24917382371533203,0.6257225742295467,0.88713166005111,0.5424432037158851,0.525176454257828
L8_newyorktimes,0.7467009120624083,0.49356846468791055,0.6488154191795964,0.7224497209183101,0.7919097756047847,0.03648058008586388
L8_washingtonpost,0.6524185248422899,0.28323492362567904,0.5857264752169066,0.6845740224767188,0.4135726659543315,0.6466064713926528
L9_breitbart,0.9560386192902195,0.22858258152669622,0.7118560229765738,0.8921603367563237,0.7557145369834846,0.4334899603948061
L9_cnn,0.3454092186936818,0.9942613027948304,0.6230421392827741,0.30524387457279417,-0.06611493967975103,-0.03873404301449853
L9_dailycaller,0.5452542310421888,0.5334595956318919,0.8932676859830158,0.4703150052960235,0.13957474854920732,0.11858111278878096
L9_foxnews,0.7997211967207497,0.10953697693463599,0.5860183148908781,0.8767612602209507,0.5701033889520132,0.555150920979964
L9_newyorktimes,0.7096310753976786,0.3221407427767408,0.5671663928035269,0.6948894467067275,0.8375249698825395,0.014661791543289922
L9_washingtonpost,0.6038756400885068,0.2530925620163135,0.569892581497648,0.624863983142707,0.23364497043893884,0.6903051177629433
L10_breitbart,0.9473936305635463,0.09690689564655568,0.6703784664585072,0.8925067850188967,0.7758839425999841,0.48715601306393985
L10_cnn,0.3473821580576129,0.9942613027948304,0.6196365755823267,0.3136467567584618,-0.06611493967975103,-0.02454750051124599
L10_dailycaller,0.5388132480682937,0.5704105468064304,0.9057570151070082,0.4627837103012877,0.13221831436144701,0.061488995693902475
L10_foxnews,0.8253694220201431,0.017633146111962168,0.5433418222986826,0.8745420508077812,0.599261332094255,0.5589970493921986
L10_newyorktimes,0.6847173035844586,0.057195999507320294,0.45799579295596127,0.6802215059037998,0.9270969551014792,0.12459547317267194
L10_washingtonpost,0.5580285197137769,0.3692282811672475,0.5409776917251439,0.5309858695781554,0.14817640249337574,0.6585876861832411
L11_breitbart,0.9417600183262785,0.05585169469563787,0.6573995418383087,0.8908465647679858,0.7552328399961914,0.4912410810278088
L11_cnn,0.35165686001279695,0.9942613027948304,0.6244043647629531,0.3192486782155736,-0.06611493967975103,-0.052920585517751084
L11_dailycaller,0.5161532300154359,0.5966165129409238,0.9009581849265713,0.4436046320652454,0.14540051591315067,-0.002261334569248935
L11_foxnews,0.8431244155821137,0.02026474809632624,0.5207501095353089,0.8753717510255081,0.6318383613134068,0.5199579801009038
L11_newyorktimes,0.6909694406346274,-0.060790345308480126,0.39466575411686444,0.6822996824151424,0.944079913243408,0.21705709301932408
L11_washingtonpost,0.5124486979833174,0.5089247433320234,0.5198771365778064,0.5252713940108714,0.14933033925842953,0.6331666647737153
L12_breitbart,0.9556185087715185,0.12597963795385456,0.6880955444294624,0.9060607244206015,0.7312805269712317,0.4805033887703859
L12_cnn,0.3646782598147421,0.9942613027948304,0.6278099284634007,0.32401031145411857,-0.04844458042600376,-0.052920585517751084
L12_dailycaller,0.520999779746464,0.6074317862516018,0.9024546490247816,0.4526600095156772,0.13788618141324366,0.015765401502694107
L12_foxnews,0.8544476013016497,0.08325668382868173,0.5300760533427877,0.8963362365808274,0.710211060485789,0.4813580439602803
L12_newyorktimes,0.7357571539246516,-0.060790345308480126,0.3869347810623936,0.7000760315194706,0.944079913243408,0.2170570930193241
L12_washingtonpost,0.43307963645661346,0.4755453064043283,0.4632567127548003,0.43048730120723233,0.11561678535515774,0.6296442376586989
