source,abcnews,breitbart,cnn,dailycaller,foxnews,washingtonpost
L4_foxnews,0.007922937292519123,0.04129260275283713,-0.053570631727356044,0.9022013307156176,0.9930225843678737,-0.0988996278043496
L4_washingtonpost,0.253873877713617,-0.018102684897351905,0.40239564216246637,-0.11675026520774581,-0.15061180844850394,0.5934999270690567
L5_abcnews,0.24746961571469692,-0.5137693525491778,-0.0783233210599257,-0.11003476683102623,-0.14194858739841915,-0.14459690041832474
L5_breitbart,-0.27151459452545584,0.2964882110789878,-0.20334822192083785,-0.26737630815298385,-0.3069402335939049,-0.25515021651605635
L5_cnn,-0.0674592466871221,-0.10618887505871455,0.697216688778396,-0.05597170785495567,-0.07220540464714009,0.4367181457183363
L5_dailycaller,-0.06607666183452222,0.07120206798378016,-0.03902440881590394,1.0,0.9077470174562177,-0.0720450624293611
L5_foxnews,-0.033172672028491196,0.04129260275283713,-0.053570631727356044,0.9022013307156176,0.9930225843678737,-0.0988996278043496
L5_washingtonpost,0.4316692455564029,-0.1184428449567877,0.3638507266038746,-0.1263556755768426,-0.16300311414708576,0.5320963089142224
L6_abcnews,0.26032101241212646,-0.5486259021763913,-0.08259871820471067,-0.1160411812880499,-0.1496970661025478,-0.15248994130100427
L6_breitbart,-0.2785457402887667,0.3855637877541228,-0.238752742799449,-0.2967867717683294,-0.3595719034933587,-0.3059265165891769
L6_cnn,-0.06745924668712208,-0.10618887505871455,0.697216688778396,-0.055971707854955664,-0.07220540464714008,0.43671814571833617
L6_dailycaller,-0.06607666183452222,0.07120206798378016,-0.03902440881590394,1.0,0.9077470174562177,-0.0720450624293611
L6_foxnews,-0.04139179389269327,0.03603330395127094,-0.053570631727356044,0.9022013307156176,0.9930225843678737,-0.0988996278043496
L6_washingtonpost,0.638616707846685,-0.18960721249517332,0.31197755120534526,-0.13406536672524913,-0.17294887764813432,0.4506028703382181
L7_abcnews,0.31056256470537014,-0.5861882884387103,-0.08968748079577701,-0.12600003298474555,-0.16254432312111475,-0.16557688762297323
L7_breitbart,-0.26232266086857636,0.5112386157831833,-0.30679434117797916,-0.2241834378736042,-0.3179002564950162,-0.41440191267017723
L7_cnn,-0.06745924668712208,-0.0742458801223533,0.6972166887783959,-0.055971707854955664,-0.07220540464714008,0.4367181457183362
